bnf_code
0703021C0AAAAAA
0703021C0BBAAAA
0703021L0AAAAAA
0703021L0BBAAAA
0703021L0BCAAAA
0703021N0AAAAAA
0703021N0BBAAAA
0703021N0BCAAAA
0703021P0AAAAAA
0703021P0BBAAAA
0703021Q0AAAAAA
0703021Q0BBAAAA
0703021Q0BCAAAA
0703021Q0BDAAAA
0703021Q0BEAAAA
0703021Q0BFAAAA
0703021Q0BGAAAA
0703021Q0BHAAAA
0703021Q0BIAAAA
0703021Q0BJAAAA
0703021Q0BKAAAA
0703021R0AAAAAA
0703021R0BBAAAA
0703010F0AAAAAA
0703010F0AAABAB
0703010F0AAACAC
0703010F0AAAEAE
0703010F0AAAFAF
0703010F0AAAGAG
0703010F0AAAHAH
0703010F0AAAJAJ
0703010F0BBAAAA
0703010F0BDAAAB
0703010F0BEAAAC
0703010F0BEABAH
0703010F0BFAAAC
0703010F0BHAAAE
0703010F0BIAAAF
0703010F0BJAAAE
0703010F0BJABAG
0703010F0BLAAAJ
0703010F0BMAAAE
0703010F0BNAAAC
0703010F0BNABAC
0703010F0BPAAAC
0703010F0BQAAAA
0703010F0BRAAAE
0703010F0BSAAAC
0703010F0BTAAAA
0703010F0BUAAAA
0703010F0BVAAAJ
0703010F0BWAAAJ
0703010F0BXAAAE
0703010F0BYAAAC
0703010F0BZAAAA
0703010F0CBAAAA
0703010F0CCAAAJ
0703010F0CDAAAC
0703010F0CEAAAJ
0703010F0CFAAAJ
0703010F0CGAAAE
0703010F0CHAAAJ
0703010F0CIAAAC
0703010F0CJAAAJ
0703010F0CKAAAE
0703010F0CLAAAC
0703010G0AAAAAA
0703010G0AAABAB
0703010G0AAACAC
0703010G0BBAAAA
0703010G0BCAAAA
0703010G0BDAAAB
0703010G0BFAAAC
0703010G0BGAAAC
0703010G0BHAAAC
0703010H0AAAEAE
0703010H0BGAAAE
0703010H0BHAAAE
0703010H0BIAAAE
0703010M0AAAAAA
0703010M0BBAAAA
0703010P0AAAAAA
0703010P0AAABAB
0703010P0AAACAC
0703010P0AAADAD
0703010P0AAAEAE
0703010P0AAAFAF
0703010P0BBAAAA
0703010P0BBABAE
0703010P0BCAAAA
0703010P0BDAAAB
0703010P0BEAAAF
0703010P0BEABAF
0703010P0BEACAF
0703010P0BFAAAC
0703010P0BGAAAD
0703010P0BHAAAD
0703010P0BIAAAA
0703010R0AAAAAA
0703010R0BBAAAA
0703010S0AAAAAA
0703010S0BBAAAA
0703010T0AAAAAA
0703010T0BBAAAA
